Namespace(bs=48, fold=3, gpu=6, lr=5e-05, name='0817-fine')
~~~~~~~~~~~~ fold 3 ~~~~~~~~~~~~
raw train:68003 -- raw val:17000
train:68003 --- val:17000
load pre-trained done.....
epoch | train loss |  valid loss |  1JHC,   2JHC,   3JHC,   1JHN,   2JHN,   3JHN,   2JHH,   3JHH  |  log_mae  |  time 
 133  | -1.8685 | -1.6241 | -0.9462, -1.7089, -1.5517, -1.1281,-1.9653,-2.0154,-2.1282,-1.8931 | -1.6671 | 10 hr 01 min 
 134  | -1.8691 | -1.6254 | -0.9486, -1.7086, -1.5509, -1.1328,-1.9627,-2.0145,-2.1337,-1.8972 | -1.6686 | 10 hr 05 min 
 135  | -1.8686 | -1.6211 | -0.9392, -1.7079, -1.5493, -1.1093,-1.9610,-2.0099,-2.1243,-1.9018 | -1.6628 | 10 hr 10 min 
 136  | -1.8700 | -1.6176 | -0.9260, -1.7081, -1.5507, -1.1018,-1.9642,-2.0150,-2.1339,-1.8964 | -1.6620 | 10 hr 14 min 
 137  | -1.8687 | -1.6149 | -0.9208, -1.7081, -1.5501, -1.1144,-1.9630,-2.0143,-2.1253,-1.8962 | -1.6615 | 10 hr 19 min 
 138  | -1.8708 | -1.6202 | -0.9435, -1.7056, -1.5492, -1.1306,-1.9646,-2.0038,-2.0991,-1.8919 | -1.6610 | 10 hr 23 min 
 139  | -1.8709 | -1.6231 | -0.9490, -1.7068, -1.5510, -1.1239,-1.9633,-2.0123,-2.1089,-1.8939 | -1.6636 | 10 hr 28 min 
 140  | -1.8696 | -1.6228 | -0.9419, -1.7087, -1.5509, -1.1188,-1.9636,-2.0096,-2.1307,-1.8985 | -1.6653 | 10 hr 32 min 
 141  | -1.8702 | -1.6261 | -0.9527, -1.7074, -1.5508, -1.1127,-1.9628,-2.0126,-2.1294,-1.8989 | -1.6659 | 10 hr 37 min 
 142  | -1.8700 | -1.6218 | -0.9423, -1.7074, -1.5509, -1.1350,-1.9589,-2.0106,-2.1285,-1.8923 | -1.6657 | 10 hr 41 min 
 143  | -1.8718 | -1.6233 | -0.9484, -1.7073, -1.5498, -1.1247,-1.9629,-2.0129,-2.1317,-1.8885 | -1.6658 | 10 hr 46 min 
 144  | -1.8718 | -1.6253 | -0.9494, -1.7089, -1.5512, -1.0994,-1.9608,-2.0146,-2.1284,-1.8984 | -1.6639 | 10 hr 50 min 
 145  | -1.8716 | -1.6253 | -0.9510, -1.7067, -1.5512, -1.1378,-1.9611,-2.0126,-2.1229,-1.8965 | -1.6675 | 10 hr 55 min 
 146  | -1.8723 | -1.6140 | -0.9194, -1.7075, -1.5499, -1.1304,-1.9629,-2.0121,-2.1281,-1.8870 | -1.6622 | 10 hr 59 min 
 147  | -1.8697 | -1.6272 | -0.9546, -1.7076, -1.5512, -1.1243,-1.9616,-2.0102,-2.1362,-1.8945 | -1.6675 | 11 hr 04 min 
 148  | -1.8710 | -1.6223 | -0.9418, -1.7073, -1.5487, -1.1397,-1.9640,-2.0131,-2.1329,-1.8970 | -1.6681 | 11 hr 08 min 
 149  | -1.8722 | -1.6227 | -0.9379, -1.7085, -1.5520, -1.1127,-1.9629,-2.0127,-2.1350,-1.9019 | -1.6655 | 11 hr 12 min 
 150  | -1.8711 | -1.6224 | -0.9443, -1.7070, -1.5500, -1.1303,-1.9625,-2.0085,-2.1336,-1.8942 | -1.6663 | 11 hr 17 min 
